KHID	KYID	Family_Name	Source
Cir1.1	KH2013:KH.C5.362	KY2019:KY.Chr5.327	AP2EREBP	HOMER
Cdx1/2/4	KH2013:KH.C14.408	KY2019:KY.Chr14.625	Homeodomain	ANISEED
Cdx1/2/4.1	KH2013:KH.C14.408	KY2019:KY.Chr14.625	Homeodomain	HOMER
Cdx1/2/4.2	KH2013:KH.C14.408	KY2019:KY.Chr14.625	Homeodomain	HOMER
Batf/3.1	KH2013:KH.C3.176	KY2019:KY.Chr3.743	bZIP	ANISEED
Celf1/2	KH2013:KH.C2.269	KY2019:KY.Chr2.1326	RRM	HOMER
KH.C9.626	KH2013:KH.C9.626	KY2019:KY.Chr9.699	Zinc finger	ANISEED
Cog1	KH2013:KH.C11.81	KY2019:KY.Chr11.1145	C2C2dof	HOMER
Atf1.1	KH2013:KH.C1.26	KY2019:KY.Chr1.2051	bZIP	ANISEED
Atf1.2	KH2013:KH.C1.26	KY2019:KY.Chr1.2051	bZIP	ANISEED
Creb3l1/2	KH2013:KH.L108.4	KY2019:KY.Chr2.2188	bZIP	ANISEED
Creb3l3	KH2013:KH.C10.463	KY2019:KY.Chr10.829	bZIP	ANISEED
Lab	KH2013:KH.C7.243	KY2019:KY.Chr7.359	Homeodomain	ANISEED
Dlx2/3/5	KH2013:KH.C7.770	KY2019:KY.Chr7.738	Homeodomain	ANISEED
Dmrta1/2	KH2013:KH.S544.3	KY2019:KY.Chr5.698	DM	HOMER
E2F/1/2/3	KH2013:KH.C2.822	KY2019:KY.Chr2.1579	E2F	HOMER
E2F/1/2/3.1	KH2013:KH.C2.822	KY2019:KY.Chr2.1579	E2F	HOMER
E2F/1/2/3.2	KH2013:KH.C2.822	KY2019:KY.Chr2.1579	E2F	ANISEED
E2F/1/2/3.3	KH2013:KH.C2.822	KY2019:KY.Chr2.1579	E2F	HOMER
E2F2/4/5	KH2013:KH.C6.223	KY2019:KY.Chr6.479	E2F	HOMER
E2F7/8	KH2013:KH.C14.142	KY2019:KY.Chr14.441	E2F	HOMER
Ebf1/2/3/4	KH2013:KH.L24.10	KY2019:KY.Chr1.724	HLH	HOMER
Ehf	KH2013:KH.C4.236	KY2019:KY.Chr4.609	Ets	HOMER
Elf1/2	KH2013:KH.C4.180	KY2019:KY.Chr4.415	Ets	HOMER
Ehf.1	KH2013:KH.C4.236	KY2019:KY.Chr4.609	Ets	ANISEED
Elk1/3/4	KH2013:KH.C8.247	KY2019:KY.Chr8.613	Ets	HOMER
Elk1/3/4.1	KH2013:KH.C8.247	KY2019:KY.Chr8.613	Ets	ANISEED
Elk1/3/4.2	KH2013:KH.C8.247	KY2019:KY.Chr8.613	Ets	HOMER
Ci-eag/Hcn/cng-diverged_3	KH2013:KH.C7.237	KY2019:KY.Chr7.427	Zinc finger	HOMER
En1/2	KH2013:KH.L142.14	KY2019:KY.Chr8.1337	Homeodomain	ANISEED
Erf	KH2013:KH.C4.366	KY2019:KY.Chr4.757	Ets	ANISEED
Elf1/2.1	KH2013:KH.C4.180	KY2019:KY.Chr4.415	AP2EREBP	HOMER
Erf.1	KH2013:KH.C4.366	KY2019:KY.Chr4.757	AP2EREBP	HOMER
Fli1	KH2013:KH.C4.539	KY2019:KY.Chr4.259	Ets	HOMER
Esrrb	KH2013:KH.L8.21	KY2019:KY.Chr11.439	Zinc finger	ANISEED
Esrrb.1	KH2013:KH.L8.21	KY2019:KY.Chr11.439	Nuclear receptor	HOMER
Ets1/2	KH2013:KH.C11.10	KY2019:KY.Chr11.1070	Ets	HOMER
Ets1/2.1	KH2013:KH.C11.10	KY2019:KY.Chr11.1070	Ets	HOMER
Etv1/4/5	KH2013:KH.C1.196	KY2019:KY.Chr1.1124	Ets	HOMER
Etv1/4/5.1	KH2013:KH.C1.196	KY2019:KY.Chr1.1124	Ets	ANISEED
Uncx4.1	KH2013:KH.L66.1	KY2019:KY.Chr1.2037	Homeodomain	ANISEED
Fli1.1	KH2013:KH.C4.539	KY2019:KY.Chr4.259	Ets	ANISEED
Ets96b	KH2013:KH.C10.420	KY2019:KY.Chr10.1095	Ets	ANISEED
KH.C10.148	KH2013:KH.C10.148	KY2019:KY.Chr10.1096	Ets	ANISEED
Zip-3	KH2013:KH.C7.294	KY2019:KY.Chr7.780	bZIP	ANISEED
Fosl1/2	KH2013:KH.C11.314	KY2019:KY.Chr11.1133	bZIP	HOMER
Foxn1	KH2013:KH.C11.313	KY2019:KY.Chr11.1167	Forkhead	ANISEED
Foxa1/2/3	KH2013:KH.C11.718	KY2019:KY.Chr11.406	Forkhead	ANISEED
Foxa1/2/3.1	KH2013:KH.C11.718	KY2019:KY.Chr11.406	Forkhead	HOMER
Foxa1/2/3.2	KH2013:KH.C11.718	KY2019:KY.Chr11.406	Forkhead	HOMER
Foxa1/2/3.3	KH2013:KH.C11.718	KY2019:KY.Chr11.406	Forkhead,NR	HOMER
Foxa1/2/3.4	KH2013:KH.C11.718	KY2019:KY.Chr11.406	Forkhead	HOMER
Foxa1/2/3.5	KH2013:KH.C11.718	KY2019:KY.Chr11.406	Forkhead	HOMER
Foxn1.1	KH2013:KH.C4.341	KY2019:KY.Chr4.915	Forkhead	ANISEED
Foxl1	KH2013:KH.L57.25	KY2019:KY.Chr12.156	Forkhead	ANISEED
Foxd1/2/3/5	KH2013:KH.C8.396	KY2019:KY.Chr8.660	Forkhead	ANISEED
Foxe1/3	KH2013:KH.C5.150	KY2019:KY.Chr5.63	Forkhead	ANISEED
Foxf1/2	KH2013:KH.C3.170	KY2019:KY.Chr3.1005	Forkhead	ANISEED
Foxf1/2.1	KH2013:KH.C3.170	KY2019:KY.Chr3.1005	Forkhead	HOMER
Foxl1.1	KH2013:KH.C8.774	KY2019:KY.Chr8.702	Forkhead	ANISEED
Foxh1	KH2013:KH.C9.717	KY2019:KY.Chr9.672	Forkhead	HOMER
Foxi1/2	KH2013:KH.C8.662	KY2019:KY.Chr8.901	Forkhead	ANISEED
Foxi1/3	KH2013:KH.C8.49	KY2019:KY.Chr8.900	Forkhead	ANISEED
Foxi1/3.1	KH2013:KH.C8.747	KY2019:KY.Chr8.896	Forkhead	ANISEED
Foxj2/3	KH2013:KH.L119.7	KY2019:KY.Chr1.1301	Forkhead	ANISEED
Foxk1/2	KH2013:KH.C12.370	KY2019:KY.Chr12.74	Forkhead	ANISEED
Foxk1/2.1	KH2013:KH.C12.370	KY2019:KY.Chr12.74	Forkhead	HOMER
Foxk1/2.2	KH2013:KH.C12.370	KY2019:KY.Chr12.74	Forkhead	HOMER
KH.C1.1304	KH2013:KH.C1.1304	KY2019:KY.Chr1.2069	Forkhead	ANISEED
Foxm1	KH2013:KH.C4.504	KY2019:KY.Chr4.979	Forkhead	ANISEED
Foxm1.1	KH2013:KH.C4.504	KY2019:KY.Chr4.979	Forkhead	HOMER
Foxo/1/3/4/6	KH2013:KH.L20.26	KY2019:KY.Chr6.627	Forkhead	ANISEED
Foxo/1/3/4/6.1	KH2013:KH.L20.26	KY2019:KY.Chr6.627	Forkhead	HOMER
Foxo/1/3/4/6.2	KH2013:KH.L20.26	KY2019:KY.Chr6.627	Forkhead	HOMER
Foxp1/2/4	KH2013:KH.C7.207	KY2019:KY.Chr7.474	Forkhead	HOMER
Foxs1	KH2013:KH.L44.19	KY2019:KY.Chr3.324	Forkhead	ANISEED
Nr1h4/5	KH2013:KH.C2.161	KY2019:KY.Chr2.1300	Nuclear receptor	HOMER
Gabpa	KH2013:KH.C2.290	KY2019:KY.Chr2.1145	Ets	HOMER
KH.C6.110	KH2013:KH.C6.110	KY2019:KY.Chr6.451	Zinc finger	HOMER
Gata4/5/6	KH2013:KH.L20.1	KY2019:KY.Chr6.625	Zinc finger	ANISEED
Gata2/3	KH2013:KH.S696.1	KY2019:KY.Chr4.1344	Zinc finger	ANISEED
Gata2/3.1	KH2013:KH.S696.1	KY2019:KY.Chr4.1344	Zinc finger	HOMER
Gata2/3.2	KH2013:KH.S696.1	KY2019:KY.Chr4.1344	Zinc finger	HOMER
Gata2/3.3	KH2013:KH.S696.1	KY2019:KY.Chr4.1344	Zinc finger	HOMER
Gata2/3.4	KH2013:KH.S696.1	KY2019:KY.Chr4.1344	Zinc finger	HOMER
Gata4/5/6.1	KH2013:KH.L20.1	KY2019:KY.Chr6.625	Zinc finger	HOMER
Gata4/5/6.2	KH2013:KH.L20.1	KY2019:KY.Chr6.625	Zinc finger	HOMER
Gata4/5/6.3	KH2013:KH.L20.1	KY2019:KY.Chr6.625	Zinc finger	HOMER
Gata4/5/6.4	KH2013:KH.L20.1	KY2019:KY.Chr6.625	Zinc finger	HOMER
Gli1/2/3	KH2013:KH.C7.334	KY2019:KY.Chr7.440	Zinc finger	ANISEED
Gli1/2/3.1	KH2013:KH.C7.334	KY2019:KY.Chr7.440	Zinc finger	HOMER
Glis1/3	KH2013:KH.C5.53	KY2019:KY.Chr5.673	Zinc finger	ANISEED
Grhl1/2/3	KH2013:KH.C1.23	KY2019:KY.Chr1.2149	CP2	HOMER
Hoxa5/6/7	KH2013:KH.C2.917	KY2019:KY.Chr2.1386	Homeodomain	ANISEED
Hat1	KH2013:KH.S1007.3	KY2019:KY.Chr1.2085	Homeodomain	HOMER
Hes1/4/5	KH2013:KH.C3.312	KY2019:KY.Chr3.580	bHLH	ANISEED
Her	KH2013:KH.L34.9	KY2019:KY.Chr1.1234	bHLH	ANISEED
Ceh-31	KH2013:KH.L171.10	KY2019:KY.Chr1.1187	Homeodomain	ANISEED
Hey1/2	KH2013:KH.L130.6	KY2019:KY.Chr10.1431	bHLH	ANISEED
Hmbox1	KH2013:KH.C1.941	KY2019:KY.Chr1.858	Homeodomain	ANISEED
Hnf1a	KH2013:KH.C12.461	KY2019:KY.Chr12.632	Homeodomain	HOMER
Hnf1a.1	KH2013:KH.C12.461	KY2019:KY.Chr12.632	Homeodomain	ANISEED
Hnf4a	KH2013:KH.C3.84	KY2019:KY.Chr3.849	Zinc finger	ANISEED
Hnf4a.1	KH2013:KH.C3.84	KY2019:KY.Chr3.849	Nuclear receptor	HOMER
Onecut/1/2/3	KH2013:KH.C6.185	KY2019:KY.Chr6.222	Homeodomain	HOMER
Hoxb1	KH2013:KH.L171.16	KY2019:KY.Chr1.1189	Homeodomain	ANISEED
Hoxc13	KH2013:KH.C7.472	KY2019:KY.Chr7.704	Homeodomain	ANISEED
Hoxa10/4/7	KH2013:KH.C7.99	KY2019:KY.Chr7.703	Homeodomain	ANISEED
Hoxd3	KH2013:KH.C1.38	KY2019:KY.Chr1.2456	Homeodomain	ANISEED
Barhl1/2	KH2013:KH.C1.959	KY2019:KY.Chr1.2458	Homeodomain	ANISEED
Barx1/2	KH2013:KH.S765.3	KY2019:KY.Chr1.2598	Homeodomain	ANISEED
Hoxa10/3/9	KH2013:KH.C14.554	KY2019:KY.Chr14.916	Homeodomain	HOMER
Ci-Hsf	KH2013:KH.C4.810	KY2019:KY.Chr4.813	HSF	ANISEED
Irf1/10/2/5	KH2013:KH.C14.306	KY2019:KY.Chr14.407	IRF	ANISEED
Batf/3.2	KH2013:KH.C3.176	KY2019:KY.Chr3.743	IRF:bZIP	HOMER
Irf1/10/2/5.1	KH2013:KH.C14.306	KY2019:KY.Chr14.407	IRF	HOMER
Irf1/10/2/5.2	KH2013:KH.C14.306	KY2019:KY.Chr14.407	IRF	HOMER
Irf10/4/8	KH2013:KH.L7.20	KY2019:KY.Chr12.1060	IRF	HOMER
Isl1/2	KH2013:KH.L152.2	KY2019:KY.Chr4.1318	Homeodomain	HOMER
Phox2b	KH2013:KH.L97.2	KY2019:KY.Chr11.115	Homeodomain	ANISEED
Jun	KH2013:KH.C5.610	KY2019:KY.Chr5.536	bZIP	HOMER
Klf10/11/2/4	KH2013:KH.C1.983	KY2019:KY.Chr1.536	Zinc finger	HOMER
Znf410	KH2013:KH.C5.430	KY2019:KY.Chr5.59	Zinc finger	ANISEED
Klf12/3/8	KH2013:KH.C9.652	KY2019:KY.Chr9.200	Zinc finger	HOMER
Scrt1/2	KH2013:KH.L83.2	KY2019:KY.Chr14.1166	Zinc finger	ANISEED
Klf10/11/2/4.1	KH2013:KH.C1.983	KY2019:KY.Chr1.536	Zinc finger	HOMER
Klf5	KH2013:KH.C5.154	KY2019:KY.Chr5.686	Zinc finger	HOMER
Sp1/3/4/5	KH2013:KH.C14.383	KY2019:KY.Chr14.281	Zinc finger	ANISEED
Klf6/7	KH2013:KH.C13.110	KY2019:KY.Chr13.407	Zinc finger	HOMER
Klf6/7.1	KH2013:KH.C13.110	KY2019:KY.Chr13.407	Zinc finger	ANISEED
Maf	KH2013:KH.C12.675	KY2019:KY.Chr12.532	bZIP	ANISEED
Lhx1/5	KH2013:KH.L107.7	KY2019:KY.Chr11.1327	Homeodomain	HOMER
Lhx2/9	KH2013:KH.C9.520	KY2019:KY.Chr9.235	Homeodomain	HOMER
Lhx3/4	KH2013:KH.S215.4	KY2019:KY.Chr13.449	Homeodomain	HOMER
Lhx3/4.1	KH2013:KH.S215.4	KY2019:KY.Chr13.449	Homeodomain	ANISEED
Lmx1a	KH2013:KH.C9.485	KY2019:KY.Chr9.594	Homeodomain	ANISEED
Foxj2/3.1	KH2013:KH.L119.7	KY2019:KY.Chr1.1301	Forkhead	CisBP
Tfap2c.1	KH2013:KH.C7.43	KY2019:KY.Chr7.1173	AP-2	CisBP
Tfap2c.2	KH2013:KH.C7.43	KY2019:KY.Chr7.1173	AP-2	CisBP
Tfap2c.3	KH2013:KH.C7.43	KY2019:KY.Chr7.1173	AP-2	CisBP
Cr848757.1	KH2013:KH.C8.314	KY2019:KY.Chr8.475	ARID/BRIGHT	CisBP
Maf.1	KH2013:KH.C12.675	KY2019:KY.Chr12.532	bZIP	CisBP
Atf1.3	KH2013:KH.C1.26	KY2019:KY.Chr1.2051	bZIP	CisBP
Atf3.2	KH2013:KH.L5.5	KY2019:KY.Chr10.1341	bZIP	CisBP
Maf.2	KH2013:KH.C12.675	KY2019:KY.Chr12.532	bZIP	CisBP
Klf12/3/8.1	KH2013:KH.C9.652	KY2019:KY.Chr9.200	Zinc finger	CisBP
Klf12/3/8.2	KH2013:KH.C9.652	KY2019:KY.Chr9.200	Zinc finger	CisBP
Gata2/3.5	KH2013:KH.S696.1	KY2019:KY.Chr4.1344	Zinc finger	CisBP
Gata2/3.6	KH2013:KH.S696.1	KY2019:KY.Chr4.1344	Zinc finger	CisBP
Gata2/3.7	KH2013:KH.S696.1	KY2019:KY.Chr4.1344	Zinc finger	CisBP
Six3/4/6	KH2013:KH.C10.367	KY2019:KY.Chr10.279	Homeodomain	CisBP
Hmx1/3	KH2013:KH.C8.709	KY2019:KY.Chr8.969	Homeodomain	CisBP
Hnf1a.2	KH2013:KH.C12.461	KY2019:KY.Chr12.632	Homeodomain	CisBP
Nr5a1/2/5	KH2013:KH.C6.10	KY2019:KY.Chr6.223	Nuclear receptor	CisBP
Rfx/1/2/3	KH2013:KH.C5.399	KY2019:KY.Chr5.751	RFX	CisBP
Rfx/1/2/3.1	KH2013:KH.C5.399	KY2019:KY.Chr5.751	RFX	CisBP
Gmeb1/2	KH2013:KH.C14.455	KY2019:KY.Chr14.492	SAND	CisBP
Smad2/3	KH2013:KH.C12.26	KY2019:KY.Chr12.69	SMAD	CisBP
Tcf7l1/2	KH2013:KH.C6.71	KY2019:KY.Chr6.60	Sox	CisBP
Cic	KH2013:KH.C4.739	KY2019:KY.Chr4.472	Sox	CisBP
Tcf7l1/2.1	KH2013:KH.C6.71	KY2019:KY.Chr6.60	Sox	CisBP
Tcf7l1/2.2	KH2013:KH.C6.71	KY2019:KY.Chr6.60	Sox	CisBP
Tcf7l1/2.3	KH2013:KH.C6.71	KY2019:KY.Chr6.60	Sox	CisBP
Tbp	KH2013:KH.C10.305	KY2019:KY.Chr10.178	TBP	CisBP
Pbx1/2/3/4	KH2013:KH.S215.9	KY2019:KY.Chr13.445	Homeodomain	CisBP
Pbx1/2/3/4.1	KH2013:KH.S215.9	KY2019:KY.Chr13.445	Homeodomain	CisBP
Hoxb2/3	KH2013:KH.L132.17	KY2019:KY.Chr1.2558	Homeodomain	CisBP
Hoxb2/3.1	KH2013:KH.L132.17	KY2019:KY.Chr1.2558	Homeodomain	CisBP
Hoxb2/3.2	KH2013:KH.L132.17	KY2019:KY.Chr1.2558	Homeodomain	CisBP
Hoxb2/3.3	KH2013:KH.L132.17	KY2019:KY.Chr1.2558	Homeodomain	CisBP
Hoxb2/3.4	KH2013:KH.L132.17	KY2019:KY.Chr1.2558	Homeodomain	CisBP
Hoxb2/3.5	KH2013:KH.L132.17	KY2019:KY.Chr1.2558	Homeodomain	CisBP
Six3/4/6.1	KH2013:KH.C10.367	KY2019:KY.Chr10.279	Homeodomain	CisBP
Six3/4/6.2	KH2013:KH.C10.367	KY2019:KY.Chr10.279	Homeodomain	CisBP
Six3/4/6.3	KH2013:KH.C10.367	KY2019:KY.Chr10.279	Homeodomain	CisBP
Barx1/2.1	KH2013:KH.S765.3	KY2019:KY.Chr1.2598	Homeodomain	CisBP
Barx1/2.2	KH2013:KH.S765.3	KY2019:KY.Chr1.2598	Homeodomain	CisBP
Pax6	KH2013:KH.C9.68	KY2019:KY.Chr9.1034	Paired box	CisBP
Pax6.1	KH2013:KH.C9.68	KY2019:KY.Chr9.1034	Paired box	CisBP
Pax6.2	KH2013:KH.C9.68	KY2019:KY.Chr9.1034	Paired box	CisBP
Pax6.3	KH2013:KH.C9.68	KY2019:KY.Chr9.1034	Paired box	CisBP
Pax6.4	KH2013:KH.C9.68	KY2019:KY.Chr9.1034	Paired box	CisBP
Pax6.5	KH2013:KH.C9.68	KY2019:KY.Chr9.1034	Paired box	CisBP
Pax6.6	KH2013:KH.C9.68	KY2019:KY.Chr9.1034	Paired box	CisBP
Pax6.7	KH2013:KH.C9.68	KY2019:KY.Chr9.1034	Paired box	CisBP
Pax6.8	KH2013:KH.C9.68	KY2019:KY.Chr9.1034	Paired box	CisBP
Pax6.9	KH2013:KH.C9.68	KY2019:KY.Chr9.1034	Paired box	CisBP
Pou2f1/2	KH2013:KH.C12.116	KY2019:KY.Chr12.443	Paired box	CisBP
Pou2f1/2.1	KH2013:KH.C12.116	KY2019:KY.Chr12.443	Paired box	CisBP
KH.C10.150	KH2013:KH.C10.150	KY2019:KY.Chr10.303	Paired box	CisBP
KH.C10.150.1	KH2013:KH.C10.150	KY2019:KY.Chr10.303	Paired box	CisBP
KH.C10.150.2	KH2013:KH.C10.150	KY2019:KY.Chr10.303	Paired box	CisBP
KH.C10.150.3	KH2013:KH.C10.150	KY2019:KY.Chr10.303	Paired box	CisBP
KH.C10.150.4	KH2013:KH.C10.150	KY2019:KY.Chr10.303	Paired box	CisBP
KH.C10.150.5	KH2013:KH.C10.150	KY2019:KY.Chr10.303	Paired box	CisBP
KH.C10.150.6	KH2013:KH.C10.150	KY2019:KY.Chr10.303	Paired box	CisBP
KH.C10.150.7	KH2013:KH.C10.150	KY2019:KY.Chr10.303	Paired box	CisBP
Hoxb2/3.6	KH2013:KH.L132.17	KY2019:KY.Chr1.2558	Homeodomain	CisBP
Hoxb2/3.7	KH2013:KH.L132.17	KY2019:KY.Chr1.2558	Homeodomain	CisBP
Hoxb2/3.8	KH2013:KH.L132.17	KY2019:KY.Chr1.2558	Homeodomain	CisBP
Barx1/2.3	KH2013:KH.S765.3	KY2019:KY.Chr1.2598	Homeodomain	CisBP
Hoxb2/3.9	KH2013:KH.L132.17	KY2019:KY.Chr1.2558	Homeodomain	CisBP
KH.C10.174	KH2013:KH.C10.174	KY2019:KY.Chr10.902	Homeodomain	CisBP
KH.C10.174.1	KH2013:KH.C10.174	KY2019:KY.Chr10.902	Homeodomain	CisBP
Hnf1a.3	KH2013:KH.C12.461	KY2019:KY.Chr12.632	Homeodomain	CisBP
Six3/4/6.4	KH2013:KH.C10.367	KY2019:KY.Chr10.279	Homeodomain	CisBP
Hmx1/3.1	KH2013:KH.C8.709	KY2019:KY.Chr8.969	Homeodomain	CisBP
Hoxb2/3.10	KH2013:KH.L132.17	KY2019:KY.Chr1.2558	Homeodomain	CisBP
Six4	KH2013:KH.C3.83	KY2019:KY.Chr3.1139	Homeodomain	CisBP
KH.C10.174.2	KH2013:KH.C10.174	KY2019:KY.Chr10.902	Homeodomain	CisBP
Hnf1a.4	KH2013:KH.C12.461	KY2019:KY.Chr12.632	Homeodomain	CisBP
Bsh_chick	KH2013:KH.C3.142	KY2019:KY.Chr3.681	Homeodomain	CisBP
Isl1/2.1	KH2013:KH.L152.2	KY2019:KY.Chr4.1318	Homeodomain	CisBP
Six4.1	KH2013:KH.C3.83	KY2019:KY.Chr3.1139	Homeodomain	CisBP
Nkx6-1/2/3	KH2013:KH.C5.502	KY2019:KY.Chr5.29	Homeodomain	CisBP
KH.C10.174.3	KH2013:KH.C10.174	KY2019:KY.Chr10.902	Homeodomain	CisBP
Hoxb2/3.11	KH2013:KH.L132.17	KY2019:KY.Chr1.2558	Homeodomain	CisBP
Hoxb2/3.12	KH2013:KH.L132.17	KY2019:KY.Chr1.2558	Homeodomain	CisBP
Six3/4/6.5	KH2013:KH.C10.367	KY2019:KY.Chr10.279	Homeodomain	CisBP
Bsh_chick.1	KH2013:KH.C3.142	KY2019:KY.Chr3.681	Homeodomain	CisBP
KH.C10.174.4	KH2013:KH.C10.174	KY2019:KY.Chr10.902	Homeodomain	CisBP
Dmbx1	KH2013:KH.C1.1212	KY2019:KY.Chr1.2439	Homeodomain	CisBP
Hoxb2/3.13	KH2013:KH.L132.17	KY2019:KY.Chr1.2558	Homeodomain	CisBP
Bsh_chick.2	KH2013:KH.C3.142	KY2019:KY.Chr3.681	Homeodomain	CisBP
KH.C10.174.5	KH2013:KH.C10.174	KY2019:KY.Chr10.902	Homeodomain	CisBP
Hmx1/3.2	KH2013:KH.C8.709	KY2019:KY.Chr8.969	Homeodomain	CisBP
Hoxb2/3.14	KH2013:KH.L132.17	KY2019:KY.Chr1.2558	Homeodomain	CisBP
Six4.2	KH2013:KH.C3.83	KY2019:KY.Chr3.1139	Homeodomain	CisBP
Pbx1/2/3/4.2	KH2013:KH.S215.9	KY2019:KY.Chr13.445	Homeodomain	CisBP
KH.C10.174.6	KH2013:KH.C10.174	KY2019:KY.Chr10.902	Homeodomain	CisBP
Nkx6-1/2/3.1	KH2013:KH.C5.502	KY2019:KY.Chr5.29	Homeodomain	CisBP
Pax6.10	KH2013:KH.C9.68	KY2019:KY.Chr9.1034	Paired box	CisBP
KH.C10.150.8	KH2013:KH.C10.150	KY2019:KY.Chr10.303	Paired box	CisBP
Hoxb2/3.15	KH2013:KH.L132.17	KY2019:KY.Chr1.2558	Homeodomain	CisBP
Barx1/2.4	KH2013:KH.S765.3	KY2019:KY.Chr1.2598	Homeodomain	CisBP
Hmx1/3.3	KH2013:KH.C8.709	KY2019:KY.Chr8.969	Homeodomain	CisBP
Six4.3	KH2013:KH.C3.83	KY2019:KY.Chr3.1139	Homeodomain	CisBP
Klf12/3/8.3	KH2013:KH.C9.652	KY2019:KY.Chr9.200	Zinc finger	CisBP
Six4.4	KH2013:KH.C3.83	KY2019:KY.Chr3.1139	Homeodomain	CisBP
Pou2f1/2.2	KH2013:KH.C12.116	KY2019:KY.Chr12.443	Paired box	CisBP
Rfx/1/2/3.2	KH2013:KH.C5.399	KY2019:KY.Chr5.751	RFX	CisBP
Tcf7l1/2.4	KH2013:KH.C6.71	KY2019:KY.Chr6.60	Sox	CisBP
Rbpj	KH2013:KH.C2.725	KY2019:KY.Chr2.749	CSL	CisBP
Rbpj.1	KH2013:KH.C2.725	KY2019:KY.Chr2.749	CSL	CisBP
Rbpj.2	KH2013:KH.C2.725	KY2019:KY.Chr2.749	CSL	CisBP
Rbpj.3	KH2013:KH.C2.725	KY2019:KY.Chr2.749	CSL	CisBP
Rbpj.4	KH2013:KH.C2.725	KY2019:KY.Chr2.749	CSL	CisBP
Rbpj.5	KH2013:KH.C2.725	KY2019:KY.Chr2.749	CSL	CisBP
Rbpj.6	KH2013:KH.C2.725	KY2019:KY.Chr2.749	CSL	CisBP
Rbpj.7	KH2013:KH.C2.725	KY2019:KY.Chr2.749	CSL	CisBP
Jun.1	KH2013:KH.C5.610	KY2019:KY.Chr5.536	bZIP	CisBP
Scrt1/2.1	KH2013:KH.L83.2	KY2019:KY.Chr14.1166	Zinc finger	CisBP
Foxp1/2/4.1	KH2013:KH.C7.207	KY2019:KY.Chr7.474	Forkhead	CisBP
Gata2/3.8	KH2013:KH.S696.1	KY2019:KY.Chr4.1344	Zinc finger	CisBP
Nr5a1/2/5.1	KH2013:KH.C6.10	KY2019:KY.Chr6.223	Nuclear receptor	CisBP
Gmeb1/2.1	KH2013:KH.C14.455	KY2019:KY.Chr14.492	SAND	CisBP
Tbx2/3	KH2013:KH.L96.87	KY2019:KY.Chr4.1104	T-box	CisBP
Tbx2/3.1	KH2013:KH.L96.87	KY2019:KY.Chr4.1104	T-box	CisBP
Tbx2/3.2	KH2013:KH.L96.87	KY2019:KY.Chr4.1104	T-box	CisBP
Tbx20	KH2013:KH.C1.224	KY2019:KY.Chr1.1392	T-box	CisBP
Ssrp/1	KH2013:KH.C3.152	KY2019:KY.Chr3.1078	Sox	CisBP
Ssrp/1.1	KH2013:KH.C3.152	KY2019:KY.Chr3.1078	Sox	CisBP
Atf1.4	KH2013:KH.C1.26	KY2019:KY.Chr1.2051	bZIP	CisBP
Atf1.5	KH2013:KH.C1.26	KY2019:KY.Chr1.2051	bZIP	CisBP
Jun.2	KH2013:KH.C5.610	KY2019:KY.Chr5.536	bZIP	CisBP
